"latitude" "regular" "reduced"
38.867626 2560 2025
39.008196 2560 2025
39.148766 2560 2025
39.289337 2560 2025
39.429907 2560 2025
39.570477 2560 2000
39.711047 2560 2000
39.851617 2560 2000
39.992187 2560 2000
40.132757 2560 2000
40.273327 2560 2000
40.413897 2560 2000
40.554467 2560 2000
40.695037 2560 2000
40.835607 2560 2000
40.976177 2560 2000
41.116747 2560 2000
41.257318 2560 2000
41.397888 2560 2000
41.538458 2560 1944
41.679028 2560 1944
41.819598 2560 1944
41.960168 2560 1944
42.100738 2560 1944
42.241308 2560 1920
42.381878 2560 1920
42.522448 2560 1920
42.663018 2560 1920
42.803588 2560 1920
42.944158 2560 1920
43.084728 2560 1920
43.225299 2560 1920
43.365869 2560 1920
43.506439 2560 1920
43.647009 2560 1920
43.787579 2560 1875
43.928149 2560 1875
44.068719 2560 1875
44.209289 2560 1875
44.349859 2560 1875
44.490429 2560 1875
44.630999 2560 1875
44.771569 2560 1875
44.912139 2560 1875
45.052709 2560 1875
45.193279 2560 1875
45.33385 2560 1875
45.47442 2560 1875
45.61499 2560 1875
45.75556 2560 1875
45.89613 2560 1875
46.0367 2560 1875
46.17727 2560 1800
46.31784 2560 1800
46.45841 2560 1800
46.59898 2560 1800
46.73955 2560 1800
46.88012 2560 1800
47.02069 2560 1800
47.16126 2560 1800
47.30183 2560 1800
47.442401 2560 1800
47.582971 2560 1800
47.723541 2560 1800
47.864111 2560 1800
48.004681 2560 1800
48.145251 2560 1800
48.285821 2560 1728
48.426391 2560 1728
48.566961 2560 1728
48.707531 2560 1728
48.848101 2560 1728
48.988671 2560 1728
49.129241 2560 1728
49.269811 2560 1728
49.410381 2560 1728
49.550952 2560 1728
49.691522 2560 1728
49.832092 2560 1728
49.972662 2560 1728
50.113232 2560 1728
50.253802 2560 1728
50.394372 2560 1728
50.534942 2560 1728
50.675512 2560 1728
50.816082 2560 1728
50.956652 2560 1728
51.097222 2560 1728
51.237792 2560 1728
51.378362 2560 1728
51.518932 2560 1620
51.659502 2560 1620
51.800073 2560 1620
51.940643 2560 1600
52.081213 2560 1600
52.221783 2560 1600
52.362353 2560 1600
52.502923 2560 1600
52.643493 2560 1600
52.784063 2560 1600
52.924633 2560 1600
53.065203 2560 1600
53.205773 2560 1600
53.346343 2560 1600
53.486913 2560 1600
53.627483 2560 1600
53.768053 2560 1536
53.908623 2560 1536
54.049194 2560 1536
54.189764 2560 1536
54.330334 2560 1536
54.470904 2560 1536
54.611474 2560 1536
54.752044 2560 1500
54.892614 2560 1500
55.033184 2560 1500
55.173754 2560 1500
55.314324 2560 1500
55.454894 2560 1500
55.595464 2560 1500
55.736034 2560 1500
55.876604 2560 1458
56.017174 2560 1458
56.157744 2560 1458
56.298314 2560 1458
56.438884 2560 1440
56.579455 2560 1440
56.720025 2560 1440
56.860595 2560 1440
57.001165 2560 1440
57.141735 2560 1440
57.282305 2560 1440
57.422875 2560 1440
57.563445 2560 1440
57.704015 2560 1440
57.844585 2560 1440
57.985155 2560 1440
58.125725 2560 1440
58.266295 2560 1440
58.406865 2560 1440
58.547435 2560 1440
58.688005 2560 1440
58.828575 2560 1350
58.969145 2560 1350
59.109715 2560 1350
59.250286 2560 1350
59.390856 2560 1350
59.531426 2560 1350
59.671996 2560 1350
59.812566 2560 1350
59.953136 2560 1350
60.093706 2560 1350
60.234276 2560 1296
60.374846 2560 1296
60.515416 2560 1280
60.655986 2560 1280
60.796556 2560 1280
60.937126 2560 1280
61.077696 2560 1280
61.218266 2560 1280
61.358836 2560 1280
61.499406 2560 1280
61.639976 2560 1280
61.780546 2560 1280
61.921116 2560 1280
62.061686 2560 1280
62.202256 2560 1215
62.342826 2560 1215
62.483397 2560 1215
62.623967 2560 1200
62.764537 2560 1200
62.905107 2560 1200
63.045677 2560 1200
63.186247 2560 1200
63.326817 2560 1200
63.467387 2560 1200
63.607957 2560 1200
63.748527 2560 1152
63.889097 2560 1152
64.029667 2560 1152
64.170237 2560 1152
64.310807 2560 1152
64.451377 2560 1125
64.591947 2560 1125
64.732517 2560 1125
64.873087 2560 1125
65.013657 2560 1125
65.154227 2560 1125
65.294797 2560 1125
65.435367 2560 1125
65.575937 2560 1080
65.716507 2560 1080
65.857077 2560 1080
65.997647 2560 1080
66.138217 2560 1080
66.278787 2560 1080
66.419357 2560 1080
66.559927 2560 1080
66.700497 2560 1080
66.841067 2560 1024
66.981638 2560 1024
67.122208 2560 1024
67.262778 2560 1024
67.403348 2560 1000
67.543918 2560 1000
67.684488 2560 1000
67.825058 2560 1000
67.965628 2560 1000
68.106198 2560 972
68.246768 2560 972
68.387338 2560 960
68.527908 2560 960
68.668478 2560 960
68.809048 2560 960
68.949618 2560 960
69.090188 2560 960
69.230758 2560 960
69.371328 2560 960
69.511898 2560 960
69.652468 2560 960
69.793038 2560 960
69.933608 2560 900
70.074178 2560 900
70.214748 2560 900
70.355318 2560 900
70.495888 2560 900
70.636458 2560 900
70.777028 2560 864
70.917598 2560 864
71.058168 2560 864
71.198738 2560 864
71.339308 2560 864
71.479878 2560 864
71.620448 2560 864
71.761018 2560 864
71.901588 2560 810
72.042158 2560 810
72.182728 2560 800
72.323298 2560 800
72.463867 2560 800
72.604437 2560 800
72.745007 2560 800
72.885577 2560 768
73.026147 2560 768
73.166717 2560 768
73.307287 2560 750
73.447857 2560 750
73.588427 2560 750
73.728997 2560 750
73.869567 2560 729
74.010137 2560 720
74.150707 2560 720
74.291277 2560 720
74.431847 2560 720
74.572417 2560 720
74.712987 2560 720
74.853557 2560 720
74.994127 2560 720
75.134697 2560 675
75.275266 2560 675
75.415836 2560 675
75.556406 2560 675
75.696976 2560 648
75.837546 2560 640
75.978116 2560 640
76.118686 2560 640
76.259256 2560 640
76.399826 2560 640
76.540396 2560 640
76.680966 2560 640
76.821535 2560 600
76.962105 2560 600
77.102675 2560 600
77.243245 2560 600
77.383815 2560 576
77.524385 2560 576
77.664955 2560 576
77.805524 2560 576
77.946094 2560 576
78.086664 2560 540
78.227234 2560 540
78.367804 2560 540
78.508374 2560 540
78.648943 2560 540
78.789513 2560 512
78.930083 2560 512
79.070653 2560 500
79.211223 2560 500
79.351792 2560 486
79.492362 2560 480
79.632932 2560 480
79.773502 2560 480
79.914072 2560 480
80.054641 2560 480
80.195211 2560 450
80.335781 2560 450
80.47635 2560 450
80.61692 2560 432
80.75749 2560 432
80.898059 2560 432
81.038629 2560 432
81.179199 2560 400
81.319768 2560 400
81.460338 2560 400
81.600908 2560 384
81.741477 2560 384
81.882047 2560 375
82.022616 2560 375
82.163186 2560 360
82.303755 2560 360
82.444325 2560 360
82.584894 2560 360
82.725464 2560 360
82.866033 2560 360
83.006602 2560 320
83.147172 2560 320
